需求名称,工序,角色,负责人,开始日期,结束日期,时长(天)
C11-帮助中心,交互策划,交互策划,交互小强,2025-05-09,2025-05-14,3
C12-关于页面,交互策划,交互策划,交互小明,2025-05-12,2025-05-15,3
C13-用户协议,交互策划,交互策划,交互小红,2025-05-12,2025-05-15,3
C14-隐私政策,交互策划,交互策划,交互小华,2025-05-12,2025-05-15,3
S01-核心战斗系统,GUI设计,GUI设计,GUI小芳,2025-05-02,2025-05-09,5
S01-核心战斗系统,服务器程序,服务器程序,服务端大卫,2025-05-02,2025-05-07,3
A01-用户登录系统,GUI设计,GUI设计,GUI小丽,2025-04-24,2025-04-30,4
A01-用户登录系统,服务器程序,服务器程序,服务端阿明,2025-04-24,2025-04-29,3
A02-支付系统,GUI设计,GUI设计,GUI小刚,2025-04-24,2025-04-30,4
A02-支付系统,服务器程序,服务器程序,服务端阿强,2025-04-24,2025-04-29,3
B01-好友系统,GUI设计,GUI设计,GUI小伟,2025-04-23,2025-04-28,3
B01-好友系统,服务器程序,服务器程序,服务端阿杰,2025-04-23,2025-04-28,3
B02-排行榜系统,GUI设计,GUI设计,GUI小杰,2025-05-01,2025-05-06,3
B02-排行榜系统,服务器程序,服务器程序,服务端阿杰,2025-05-01,2025-05-06,3
B03-成就系统,GUI设计,GUI设计,GUI小龙,2025-05-02,2025-05-07,3
B03-成就系统,服务器程序,服务器程序,服务端阿明,2025-05-02,2025-05-07,3
C01-公告系统,GUI设计,GUI设计,GUI小伟,2025-04-29,2025-05-01,2
C01-公告系统,服务器程序,服务器程序,服务端阿强,2025-04-29,2025-04-30,1
C02-设置页面,GUI设计,GUI设计,GUI小丽,2025-05-02,2025-05-06,2
C02-设置页面,服务器程序,服务器程序,服务端阿强,2025-05-02,2025-05-05,1
C03-分享功能,GUI设计,GUI设计,GUI小刚,2025-05-06,2025-05-08,2
C03-分享功能,服务器程序,服务器程序,服务端阿强,2025-05-06,2025-05-07,1
C04-礼包码兑换,GUI设计,GUI设计,GUI小伟,2025-05-07,2025-05-09,2
C04-礼包码兑换,服务器程序,服务器程序,服务端阿杰,2025-05-07,2025-05-08,1
C05-客服系统,GUI设计,GUI设计,GUI小丽,2025-05-07,2025-05-09,2
C05-客服系统,服务器程序,服务器程序,服务端大卫,2025-05-07,2025-05-08,1
C06-消息推送,GUI设计,GUI设计,GUI小杰,2025-05-07,2025-05-09,2
C06-消息推送,服务器程序,服务器程序,服务端阿明,2025-05-07,2025-05-08,1
C07-新手引导,GUI设计,GUI设计,GUI小龙,2025-05-09,2025-05-13,2
C07-新手引导,服务器程序,服务器程序,服务端阿强,2025-05-09,2025-05-12,1
C08-反馈系统,GUI设计,GUI设计,GUI小刚,2025-05-12,2025-05-14,2
C08-反馈系统,服务器程序,服务器程序,服务端大卫,2025-05-12,2025-05-13,1
C09-签到系统,GUI设计,GUI设计,GUI小芳,2025-05-12,2025-05-14,2
C09-签到系统,服务器程序,服务器程序,服务端阿明,2025-05-12,2025-05-13,1
C10-邮件系统,GUI设计,GUI设计,GUI小丽,2025-05-12,2025-05-14,2
C10-邮件系统,服务器程序,服务器程序,服务端阿杰,2025-05-12,2025-05-13,1
C11-帮助中心,GUI设计,GUI设计,GUI小伟,2025-05-14,2025-05-16,2
C11-帮助中心,服务器程序,服务器程序,服务端阿强,2025-05-14,2025-05-15,1
C12-关于页面,GUI设计,GUI设计,GUI小杰,2025-05-15,2025-05-19,2
C12-关于页面,服务器程序,服务器程序,服务端大卫,2025-05-15,2025-05-16,1
C13-用户协议,GUI设计,GUI设计,GUI小龙,2025-05-15,2025-05-19,2
C13-用户协议,服务器程序,服务器程序,服务端阿明,2025-05-15,2025-05-16,1
C14-隐私政策,GUI设计,GUI设计,GUI小芳,2025-05-15,2025-05-19,2
C14-隐私政策,服务器程序,服务器程序,服务端阿杰,2025-05-15,2025-05-16,1
S01-核心战斗系统,GUI蓝图,GUI蓝图,蓝图小文,2025-05-09,2025-05-14,3
A01-用户登录系统,GUI蓝图,GUI蓝图,蓝图小武,2025-04-30,2025-05-02,2
A02-支付系统,GUI蓝图,GUI蓝图,蓝图小斌,2025-04-30,2025-05-02,2
B01-好友系统,GUI蓝图,GUI蓝图,蓝图小博,2025-04-28,2025-04-30,2
B02-排行榜系统,GUI蓝图,GUI蓝图,蓝图小博,2025-05-06,2025-05-08,2
B03-成就系统,GUI蓝图,GUI蓝图,蓝图小武,2025-05-07,2025-05-09,2
C01-公告系统,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-02,2025-05-05,1
C02-设置页面,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-06,2025-05-07,1
C03-分享功能,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-08,2025-05-09,1
C04-礼包码兑换,GUI蓝图,GUI蓝图,蓝图小博,2025-05-09,2025-05-12,1
C05-客服系统,GUI蓝图,GUI蓝图,蓝图小武,2025-05-09,2025-05-12,1
C06-消息推送,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-09,2025-05-12,1
C07-新手引导,GUI蓝图,GUI蓝图,蓝图小武,2025-05-13,2025-05-14,1
C08-反馈系统,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-14,2025-05-15,1
C09-签到系统,GUI蓝图,GUI蓝图,蓝图小博,2025-05-14,2025-05-15,1
C10-邮件系统,GUI蓝图,GUI蓝图,蓝图小文,2025-05-14,2025-05-15,1
C11-帮助中心,GUI蓝图,GUI蓝图,蓝图小武,2025-05-16,2025-05-19,1
C12-关于页面,GUI蓝图,GUI蓝图,蓝图小文,2025-05-19,2025-05-20,1
C13-用户协议,GUI蓝图,GUI蓝图,蓝图小斌,2025-05-19,2025-05-20,1
C14-隐私政策,GUI蓝图,GUI蓝图,蓝图小博,2025-05-19,2025-05-20,1
S01-核心战斗系统,客户端程序,客户端程序,客户端小杰,2025-05-14,2025-05-28,10
A01-用户登录系统,客户端程序,客户端程序,客户端小伟,2025-05-02,2025-05-13,7
A02-支付系统,客户端程序,客户端程序,客户端阿龙,2025-05-02,2025-05-13,7
B01-好友系统,客户端程序,客户端程序,客户端阿龙1,2025-04-30,2025-05-09,7
B02-排行榜系统,客户端程序,客户端程序,客户端阿龙2,2025-05-08,2025-05-19,7
B03-成就系统,客户端程序,客户端程序,客户端阿龙3,2025-05-09,2025-05-20,7
C01-公告系统,客户端程序,客户端程序,客户端阿龙4,2025-05-05,2025-05-08,3
C02-设置页面,客户端程序,客户端程序,客户端阿龙5,2025-05-07,2025-05-12,3
C03-分享功能,客户端程序,客户端程序,客户端阿龙4,2025-05-09,2025-05-14,3
C04-礼包码兑换,客户端程序,客户端程序,客户端阿龙1,2025-05-12,2025-05-15,3
C05-客服系统,客户端程序,客户端程序,客户端阿龙5,2025-05-12,2025-05-15,3
C06-消息推送,客户端程序,客户端程序,客户端小伟,2025-05-13,2025-05-16,3
C07-新手引导,客户端程序,客户端程序,客户端阿龙,2025-05-14,2025-05-19,3
C08-反馈系统,客户端程序,客户端程序,客户端阿龙4,2025-05-15,2025-05-20,3
C09-签到系统,客户端程序,客户端程序,客户端阿龙1,2025-05-15,2025-05-20,3
C10-邮件系统,客户端程序,客户端程序,客户端阿龙5,2025-05-15,2025-05-20,3
C11-帮助中心,客户端程序,客户端程序,客户端小伟,2025-05-19,2025-05-22,3
C12-关于页面,客户端程序,客户端程序,客户端阿龙,2025-05-20,2025-05-23,3
C13-用户协议,客户端程序,客户端程序,客户端阿龙2,2025-05-20,2025-05-23,3
C14-隐私政策,客户端程序,客户端程序,客户端阿龙1,2025-05-20,2025-05-23,3
S01-核心战斗系统,系统策划验收,系统策划验收,策划张三,2025-05-28,2025-05-30,2
S01-核心战斗系统,交互策划验收,交互策划验收,交互小明,2025-05-28,2025-05-30,2
A01-用户登录系统,系统策划验收,系统策划验收,策划李四,2025-05-13,2025-05-15,2
A01-用户登录系统,交互策划验收,交互策划验收,交互小红,2025-05-15,2025-05-19,2
A02-支付系统,系统策划验收,系统策划验收,策划王五,2025-05-13,2025-05-15,2
A02-支付系统,交互策划验收,交互策划验收,交互小华,2025-05-15,2025-05-19,2
B01-好友系统,系统策划验收,系统策划验收,策划赵六,2025-05-09,2025-05-12,1
B01-好友系统,交互策划验收,交互策划验收,交互小强,2025-05-14,2025-05-15,1
B02-排行榜系统,系统策划验收,系统策划验收,策划小七,2025-05-19,2025-05-20,1
B02-排行榜系统,交互策划验收,交互策划验收,交互小强,2025-05-19,2025-05-20,1
B03-成就系统,系统策划验收,系统策划验收,策划李四,2025-05-20,2025-05-21,1
B03-成就系统,交互策划验收,交互策划验收,交互小红,2025-05-20,2025-05-21,1
C01-公告系统,系统策划验收,系统策划验收,策划王五,2025-05-15,2025-05-16,1
C01-公告系统,交互策划验收,交互策划验收,交互小华,2025-05-19,2025-05-20,1
C02-设置页面,系统策划验收,系统策划验收,策划赵六,2025-05-12,2025-05-13,1
C02-设置页面,交互策划验收,交互策划验收,交互小华,2025-05-20,2025-05-21,1
C03-分享功能,系统策划验收,系统策划验收,策划小七,2025-05-20,2025-05-21,1
C03-分享功能,交互策划验收,交互策划验收,交互小强,2025-05-20,2025-05-21,1
C04-礼包码兑换,系统策划验收,系统策划验收,策划张三,2025-05-30,2025-06-02,1
C04-礼包码兑换,交互策划验收,交互策划验收,交互小明,2025-05-30,2025-06-02,1
C05-客服系统,系统策划验收,系统策划验收,策划王五,2025-05-16,2025-05-19,1
C05-客服系统,交互策划验收,交互策划验收,交互小红,2025-05-21,2025-05-22,1
C06-消息推送,系统策划验收,系统策划验收,策划赵六,2025-05-16,2025-05-19,1
C06-消息推送,交互策划验收,交互策划验收,交互小华,2025-05-21,2025-05-22,1
C07-新手引导,系统策划验收,系统策划验收,策划小七,2025-05-21,2025-05-22,1
C07-新手引导,交互策划验收,交互策划验收,交互小强,2025-05-21,2025-05-22,1
C08-反馈系统,系统策划验收,系统策划验收,策划张三,2025-06-02,2025-06-03,1
C08-反馈系统,交互策划验收,交互策划验收,交互小明,2025-06-02,2025-06-03,1
C09-签到系统,系统策划验收,系统策划验收,策划王五,2025-05-20,2025-05-21,1
C09-签到系统,交互策划验收,交互策划验收,交互小红,2025-05-22,2025-05-23,1
C10-邮件系统,系统策划验收,系统策划验收,策划赵六,2025-05-20,2025-05-21,1
C10-邮件系统,交互策划验收,交互策划验收,交互小华,2025-05-22,2025-05-23,1
C11-帮助中心,系统策划验收,系统策划验收,策划小七,2025-05-22,2025-05-23,1
C11-帮助中心,交互策划验收,交互策划验收,交互小强,2025-05-22,2025-05-23,1
C12-关于页面,系统策划验收,系统策划验收,策划李四,2025-05-23,2025-05-26,1
C12-关于页面,交互策划验收,交互策划验收,交互小明,2025-06-03,2025-06-04,1
C13-用户协议,系统策划验收,系统策划验收,策划张三,2025-06-03,2025-06-04,1
C13-用户协议,交互策划验收,交互策划验收,交互小红,2025-05-23,2025-05-26,1
C14-隐私政策,系统策划验收,系统策划验收,策划王五,2025-05-23,2025-05-26,1
C14-隐私政策,交互策划验收,交互策划验收,交互小华,2025-05-23,2025-05-26,1
S01-核心战斗系统,QA测试,QA测试,QA小芳,2025-05-30,2025-06-04,3
A01-用户登录系统,QA测试,QA测试,QA小丽,2025-05-19,2025-05-22,3
A02-支付系统,QA测试,QA测试,QA小刚,2025-05-19,2025-05-22,3
B01-好友系统,QA测试,QA测试,QA小伟,2025-05-15,2025-05-20,3
B02-排行榜系统,QA测试,QA测试,QA小杰,2025-05-20,2025-05-23,3
B03-成就系统,QA测试,QA测试,QA小龙,2025-05-21,2025-05-26,3
C01-公告系统,QA测试,QA测试,QA小伟,2025-05-20,2025-05-23,3
C02-设置页面,QA测试,QA测试,QA小丽,2025-05-22,2025-05-27,3
C03-分享功能,QA测试,QA测试,QA小刚,2025-05-22,2025-05-27,3
C04-礼包码兑换,QA测试,QA测试,QA小伟,2025-06-02,2025-06-05,3
C05-客服系统,QA测试,QA测试,QA小杰,2025-05-23,2025-05-28,3
C06-消息推送,QA测试,QA测试,QA小龙,2025-05-26,2025-05-29,3
C07-新手引导,QA测试,QA测试,QA小丽,2025-05-27,2025-05-30,3
C08-反馈系统,QA测试,QA测试,QA小刚,2025-06-03,2025-06-06,3
C09-签到系统,QA测试,QA测试,QA小杰,2025-05-28,2025-06-02,3
C10-邮件系统,QA测试,QA测试,QA小龙,2025-05-29,2025-06-03,3
C11-帮助中心,QA测试,QA测试,QA小丽,2025-05-30,2025-06-04,3
C12-关于页面,QA测试,QA测试,QA小杰,2025-06-04,2025-06-09,3
C13-用户协议,QA测试,QA测试,QA小龙,2025-06-04,2025-06-09,3
C14-隐私政策,QA测试,QA测试,QA小芳,2025-06-04,2025-06-09,3
